# npoints=256 nbar=4000 length= 200.0Mpc verr=1660.0km/s nonlin= 250.0km/s
#dipole v_rms = 125.498322
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0   158.64   -26.94  -135.00  -275.01   -79.75   -96.95 -2827.33
     1   142.36    18.56  -137.82   397.98   110.35    35.36  1630.39
     2   119.70   -21.84  -154.16  -196.89   -81.67   379.25 -3684.66
     3   111.06   -14.25  -158.28  -277.12  -315.58  -107.88 -1882.20
     4   100.70    -0.89  -173.32    95.57   -14.84   386.54  -454.58
     5   122.27    35.10   178.66   261.38  -317.58   -83.15 -1667.62
     6   112.55   -26.82   174.64   427.56   -44.99   213.79   568.44
     7   123.51    35.59   174.64   193.29  -246.32  -103.68  1751.51
     8   107.83   -18.59   168.09   178.54  -150.36   126.44  -345.86
     9   102.71    -0.44   166.81   158.13  -403.57   -29.08  2056.71
    10   123.62   -31.64   161.83   487.68  -253.41   304.44 -3401.45
    11   125.19    28.72   155.62   165.02   -92.39   123.02  -690.19
    12   135.95    33.88   152.37   -43.62   109.26   115.93  -509.56
    13   148.22    32.17   142.84    40.86   137.90    64.63   819.32
    14   136.77    16.94   139.84   437.24    98.57   -32.48 -4476.62
    15   154.35   -32.10  -139.36  -378.59  -246.80   -68.25  1046.83
    16   129.64    -4.49  -140.15   205.96   379.20    31.72 -1330.98
    17   152.67   -33.20  -140.96  -377.88  -344.28    56.57   375.85
    18   144.86    34.49  -146.21   168.93   217.61   -69.09  -170.11
    19   129.18   -23.90  -147.15    77.75   112.70   527.21 -1537.59
    20   146.35   -39.04  -150.79   -73.73   180.89  -158.17  -950.25
    21   140.35    44.99   178.20   240.69   -95.22   427.62  2701.36
    22   111.95    23.44   165.01   381.08   -57.94  -322.15  1318.45
    23   109.88   -15.67   159.69   144.01  -190.05  -131.13  1809.08
    24   107.48     5.84   158.12   -23.82  -221.50  -113.38  1122.84
    25   132.04   -35.03   156.58   269.63    -7.53   218.22 -2289.33
    26   115.82   -13.66   151.83   233.54    32.91  -262.04   -51.69
    27   144.69   -37.21   149.44   122.41   252.76   364.59 -1674.12
    28   121.64   -12.99   146.83   294.03    -3.89  -225.55 -2823.83
