# npoints=256 nbar=20000 length= 200.0Mpc verr=1000.0km/s nonlin= 250.0km/s
#dipole v_rms = 125.498322
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0   140.49    -7.67  -135.91  -264.83   341.36   -49.70  -819.05
     1   146.92    19.90  -136.37  -451.75  -108.46  -252.11   354.86
     2   155.01    26.97  -136.37  -366.98   152.22  -118.00  -937.73
     3   155.78   -28.78  -137.09   -43.85   117.00  -258.29   630.47
     4   145.14   -19.82  -137.09    -8.00   279.79   192.64 -1473.77
     5   156.54   -32.62  -139.33  -198.42    -1.15   194.07   923.40
     6   137.00    17.94  -140.11  -348.93  -365.90  -285.50  -551.10
     7   154.94   -34.38  -141.45  -254.47   133.39   148.20   607.74
     8   127.01    -7.42  -142.56  -522.66   -34.41  -241.11 -1015.17
     9   159.00    37.89  -142.84  -295.52   -48.25   276.18  1115.15
    10   132.48   -21.08  -144.00  -194.04   -79.25   350.40  -466.95
    11   140.32    28.25  -144.00  -159.06  -316.22    64.53 -1875.25
    12   127.87    17.05  -144.89  -372.00    57.51   -99.72  -152.00
    13   142.42   -34.40  -148.32  -186.67  -132.80   -69.19   182.93
    14   122.65    21.68  -151.33  -123.87  -104.83  -314.05  -875.31
    15   117.42    14.65  -151.67  -445.24  -185.73   163.98   474.39
    16   137.84    36.52  -154.52  -110.46    -3.89   159.40  -977.82
    17   118.22    20.91  -154.89  -230.29  -127.39  -254.07  -341.03
    18   124.30    27.31  -154.89   -78.47    -0.89  -103.09  1447.83
    19   109.39    -5.74  -156.75  -257.02  -189.86  -189.99  -961.19
    20   119.83   -25.07  -157.13    -5.20   174.07   -33.29  -308.67
    21   122.71   -28.11  -157.51  -269.55   -25.65  -173.49   758.43
    22   117.85   -24.69  -159.05   -16.09    76.44   -64.99  -818.38
    23   120.95    27.71  -159.05  -108.24    88.64    -0.51   274.14
    24   140.88    40.87  -159.84  -304.47   117.59   169.52  -313.57
    25   108.23   -11.66  -160.63  -317.49  -203.72  -194.73  1923.06
    26   105.82    -8.92  -163.05  -360.56  -310.84  -309.91   227.11
    27   107.43   -14.32  -163.88  -259.39   -22.13   -82.44  2328.23
    28   120.83    30.72  -164.29  -241.36    67.88    40.07  1865.49
    29   103.89    -5.18  -165.12  -211.99   -70.23   -12.98 -1247.15
    30   138.46   -42.62  -168.95  -499.21  -401.74   346.87  -551.56
    31   125.71   -36.18  -170.25  -336.38  -159.14  -343.74    80.89
    32   105.04    15.97  -172.00  -132.41   -11.62   -65.25  -457.01
    33   139.86    43.84  -172.43  -365.74  -204.94   338.55  1355.41
    34   125.62   -36.66  -172.87  -314.79  -393.61  -141.54  -309.78
    35   133.84   -41.27  -173.76  -257.30  -463.63   358.75   249.96
    36   106.40   -19.74  -176.87  -243.48  -295.53   -53.58  1504.18
    37   106.14    19.34  -176.87  -147.40   290.18    48.68  1086.15
    38   117.94   -32.00  -179.10  -113.49  -278.90  -109.50  1753.25
    39   124.53   -36.58   180.00  -250.14  -310.30  -358.84   955.35
    40   115.12   -29.70   180.00   -89.82  -207.77   -78.67  -702.22
    41   129.43    39.33   177.32    -5.96  -176.56   -55.35    43.99
    42   121.48    34.47   176.87  -188.47     2.82     5.47  -990.25
    43   105.12   -17.29   175.09  -106.46     3.71   275.05  -874.86
    44   103.44   -13.99   175.09   -63.67   -94.19   234.37  -863.30
    45   117.08    30.92   174.64  -188.62    96.13    23.30   445.92
    46   137.64   -42.93   172.87  -266.09  -142.89   138.77    -4.64
    47   108.95   -22.34   172.87   -91.62  -142.48  -278.68 -1764.60
    48   140.88    44.33   172.87  -130.07  -221.63   233.40  -349.43
    49   101.03    -1.77   172.00  -305.59    72.52   160.31   965.79
    50   136.82   -42.36   171.56  -262.44    -7.77   237.15  -648.19
    51   107.91   -19.89   170.25  -181.71   132.53   152.92   953.35
    52   137.70    41.16   164.71  -104.17   215.69    -7.51  -601.75
    53   106.87   -13.10   163.88  -120.79   -38.04   297.48   124.32
    54   105.26    -8.54   163.88  -115.12    25.20   372.29  1467.55
    55   104.75     6.42   163.88  -155.99   109.95   164.21   -51.47
    56   132.05    37.97   163.88   -49.01   -53.39   -89.86   907.26
    57   106.63     2.52   159.84  -281.38    72.08    25.95  -990.91
    58   108.95     7.83   157.89  -344.86    38.57    44.48  -315.18
    59   109.14    -7.40   157.51  -189.09    44.16   304.08   657.12
    60   109.17     6.16   157.13  -381.41    22.55    69.20  -588.04
    61   115.46   -18.54   156.00  -302.62   178.47   243.32  1472.76
    62   110.45     0.81   154.89  -305.62  -138.79   324.10  -471.73
    63   120.02    21.78   153.79  -357.77  -113.75  -296.36   643.25
    64   145.61    38.49   151.33  -135.11  -139.84   -66.62  -831.73
    65   142.88   -36.58   150.64   -39.42  -494.91   124.71   -47.03
    66   141.22   -35.12   149.97   -19.68  -439.84   272.54  -181.72
    67   142.77    35.45   149.30  -252.77  -150.78   108.17   358.03
    68   135.40   -30.13   148.64   -10.99  -104.87   -35.67  1184.10
    69   119.39   -10.18   148.32  -253.50   125.01   226.08  -631.94
    70   142.32   -34.05   147.99  -216.44  -257.76   172.61   621.61
    71   141.66    32.72   147.04   -18.72    43.29    57.26   782.16
    72   125.36   -13.70   145.19  -384.98   137.33    65.61  1140.29
    73   140.64    29.26   144.59  -237.70     2.04  -230.50  -879.56
    74   126.43   -12.13   144.00  -465.71    99.43   169.37  1919.90
    75   160.33   -38.23   142.56  -110.44   412.52  -133.44  -761.47
    76   153.18    31.69   140.11    -5.32   -91.86    64.63    58.11
    77   130.85    -0.68   139.84  -665.82   345.60   159.64   417.89
    78   152.47    30.14   139.33  -107.03    -3.68   -84.05   807.42
    79   144.47   -22.58   138.56  -113.76    71.86   332.49   727.40
    80   135.34    -6.63   138.06  -668.67   133.39   111.86  -138.97
    81   166.53   -35.24   137.33   -32.64   297.78   138.20  2139.82
    82   154.57   -28.37   137.33   -22.35   543.56   -47.28  2023.48
    83   139.93   -11.60   136.85   -40.85   280.03    67.61 -1676.68
    84   161.42   -31.51   136.61  -166.57   403.88  -130.69  -393.93
    85   148.79   -21.24   136.14  -138.53   271.02    92.69   169.49
    86   151.18    21.84   135.45  -435.44   -24.92  -406.39   783.30
    87   150.02   -25.94  -137.35  -383.51    59.57  -164.91   279.27
    88   142.56    18.86  -137.35  -377.52  -126.44  -368.96  -841.93
    89   151.38    28.68  -138.34  -291.07    -8.28   -27.01  -408.87
    90   162.14    35.32  -138.59  -199.00  -230.74   321.65   861.30
    91   155.69    34.54  -140.69  -354.29    91.10    96.53  -531.89
    92   153.19   -34.48  -141.78  -334.31    -4.46    77.53   341.60
    93   133.92    21.20  -142.63  -350.12  -168.13   -61.73  -529.15
    94   139.03    27.80  -143.79  -119.35  -322.91    -9.96  -363.04
