# npoints=256 nbar=10000 length= 100.0Mpc verr=1000.0km/s nonlin= 250.0km/s
#dipole v_rms = 188.535057
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0    71.97   -17.04  -136.61  -172.53   106.55   -74.09   589.10
     1    77.70    28.53  -137.09  -125.01     2.26   -87.55   565.04
     2    68.16   -12.91  -138.81  -187.36   391.49   272.92 -1288.64
     3    62.63    -7.89  -143.71    -6.58   255.94   298.08 -1649.97
     4    76.87   -36.48  -144.00  -430.08   -79.63  -433.12  1538.48
     5    66.80   -23.80  -144.89  -255.60   278.20   217.95  1147.86
     6    62.39   -17.87  -147.36  -339.43   121.73   171.63  -989.92
     7    58.96     0.00  -147.99  -105.35  -106.00    82.64   363.31
     8    57.85     7.37  -150.64  -262.36   115.72    55.65    13.84
     9    59.59    16.37  -150.98  -456.18   109.74   195.93  1836.66
    10    57.90   -12.07  -152.02   -49.75   270.84   182.87 -1278.62
    11    58.84    20.20  -154.89  -288.23   129.26   -30.49  1379.91
    12    71.07    40.02  -156.75  -149.44  -117.33  -236.33   316.70
    13    55.94    15.80  -158.28   -86.74  -101.61   170.10  -639.65
    14    60.35   -27.78  -159.44  -179.57   315.57   423.26   126.02
    15    68.58   -40.49  -163.47    -9.55  -191.88  -302.68  -118.49
    16    64.01   -35.43  -163.47   -26.28   120.88   -22.31   494.59
    17    69.35    41.23  -163.47  -160.88  -309.04  -103.68 -1134.42
    18    61.78   -35.57  -174.20   -12.91   -83.29   142.58  -219.39
    19    50.03    -1.34  -178.66   373.23    48.26    96.91  -933.01
    20    69.34   -43.86   180.00   209.20   -16.89    15.92   841.27
    21    64.35   -38.70   174.64   114.92  -142.78   -53.99  2284.76
    22    56.52   -26.70   172.00   256.91  -317.96    14.15 -2233.83
    23    55.72    17.54   160.23  -182.07   159.11  -140.88 -1660.24
    24    71.57    41.75   159.44    57.00  -285.52  -428.36  -112.67
    25    60.90    26.68   156.75  -283.49   -32.70  -115.55   799.67
    26    60.87   -26.28   156.37   148.84   -83.23   -89.21   101.89
    27    65.67   -32.77   154.89   106.78  -188.50   -21.09  -905.00
    28    72.81    40.48   154.52  -132.10  -114.63  -491.68 -1169.53
    29    74.36   -41.05   153.08   -31.59    96.91   -56.38  -454.35
    30    60.28   -20.09   152.02  -232.57   -36.39   -88.07  1591.01
    31    68.28   -33.71   151.67   102.46   -45.07  -142.50 -1187.84
    32    60.45   -10.80   147.36   122.21  -114.35   220.24  -376.89
    33    61.05    12.56   147.04    34.51   -88.33   282.42  -196.39
    34    60.28    -2.23   146.10   187.38   -80.48   420.47  -993.15
    35    62.81    -5.71   143.13    63.02     2.68   317.02   996.80
    36    65.11   -13.88   142.28  -151.68  -136.59   -35.88  1586.99
    37    65.40     4.80   140.11    35.49   165.47   388.21   615.72
    38    69.60    19.34   139.58   153.01   -19.41   -60.34  -304.96
    39    76.78   -28.90   138.06  -116.60   -60.52  -249.47  -426.49
    40    67.85     3.30   137.57    -3.86   233.34   463.57   396.62
    41    73.09   -15.50   135.22  -141.18    44.48    11.45  -290.11
    42    82.82   -35.46  -137.35  -240.71    42.88  -269.70  1365.83
    43    65.66     1.70  -139.10   -78.70    79.50   231.93  -584.76
    44    78.77    35.82  -140.96  -112.92   201.26  -194.31  -675.03
    45    60.93     3.68  -144.68  -133.67   -93.15   -60.78  -425.97
