#dipole v_rms = 188.535057
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0    50.12     3.57  -178.21  -172.24   346.78   122.12  1541.03
     1    79.64    37.46  -140.01  -150.80   -71.08  -212.58  -600.86
     2    72.37   -37.20  -147.17    84.76  -160.52  -125.91   404.97
     3    65.72    31.54  -149.86   -22.77   -66.66   -67.76  2537.24
     4    51.61    -5.21   160.46   -19.80   -95.12   316.64  -193.30
     5    58.13   -36.25   180.00   113.58   -92.11   -45.33 -1442.87
     6    66.31   -44.98   178.09  -191.10    99.38  -176.73  1025.41
     7    71.94   -44.03   154.98  -217.41   -78.59  -160.57  -183.43
     8    58.15    22.10   150.46    29.39  -172.51   -47.78  1522.21
     9    61.83    10.19  -138.12  -123.93  -163.80  -228.00  -917.85
    10    65.36    45.82  -174.09  -207.52   351.47  -140.99  -205.17
    11    62.19   -30.17  -144.46   -19.85  -307.98    73.35    35.01
    12    62.05    44.84  -173.88  -150.22   372.73  -212.97  1516.08
    13    63.76    37.78   150.26    52.51   -37.84  -325.20   901.24
    14    47.11   -11.48  -156.04   169.24   149.75   124.18   539.86
    15    44.00     0.00  -163.50    94.16   368.65   256.70   603.35
    16    46.82     9.60   156.04   112.32  -260.52    73.18   759.29
    17    46.93    -3.82   154.29    82.87  -359.11   307.27 -2765.06
    18    70.12    43.69   146.31  -147.22    64.40  -315.34   201.77
    19    64.40     4.17   131.05   -26.41  -185.30   108.46   296.83
    20    62.34   -48.75   171.25  -193.67   171.69  -241.12   390.33
    21    41.40     2.16   169.11   -59.17   157.66   116.20   246.34
    22    76.82   -37.61   131.88  -220.76   133.86  -120.94 -1404.13
    23    63.62   -51.80  -173.16    44.46   190.55  -313.80  1333.54
    24    50.05   -38.64  -177.71  -106.98   -44.77   -15.79  -389.31
    25    61.32   -11.76  -128.66   166.15   -30.71    68.91 -1249.41
    26    43.75    25.38  -161.57    17.22    85.81  -381.36 -1946.80
    27    37.66     2.38   175.24   -62.00   436.47   221.65   246.89
    28    41.72    24.33   170.54  -282.11   245.34  -214.15 -1835.04
    29    41.37    10.89   157.38  -104.40   -26.55    -4.71   313.59
    30    74.25    37.61   129.61   -93.16   130.78   -34.45   287.82
    31    61.75     4.35  -125.71   -73.12   -67.16   -18.11   374.64
    32    44.69    31.63   160.82  -182.76   214.50  -187.44 -1098.23
    33    54.98   -25.23  -133.73   244.95  -236.28     1.94 -2339.30
    34    59.25    45.40  -145.71  -120.09  -177.41   242.44  -768.77
    35    61.08   -50.13  -151.39     0.10  -194.53     9.83   183.39
    36    36.38     7.40  -162.35  -155.52   159.98   172.82  -410.83
    37    35.25   -12.80   180.00    -9.81   332.86   298.11  -802.24
    38    62.36    36.96  -131.19   190.06  -180.34   272.40   975.40
    39    43.67    -8.23  -139.40  -143.76  -227.16   369.44   657.55
    40    38.31     9.39  -150.26  -320.99    92.56   -35.82   -26.60
    41    36.34   -20.12  -164.05    61.59    19.87   188.27    82.30
    42    54.26   -51.03   164.05  -202.15    63.61  -552.21   722.53
    43    60.94   -34.34  -126.16   167.23   -36.76   -28.42   718.68
    44    51.99   -48.71  -149.93  -136.06  -218.81  -129.39  2286.65
    45    43.81    10.27   133.53  -134.40   -72.30   290.50   277.00
    46    68.07   -45.36   128.37   -74.64   213.51   -39.44 -2857.58
    47    62.03   -37.20  -124.70   136.51   -66.19    29.31   962.27
    48    34.83    35.67   173.66  -403.30   298.58  -137.10  2113.70
    49    39.65   -39.09   156.04  -379.84   292.56   314.88  -596.47
    50    32.17     0.00   150.95  -275.52  -137.21   166.29   988.86
    51    46.51   -44.87   148.57  -260.18   172.50   245.90    10.36
    52    56.96    26.03   121.26    17.92  -151.97  -124.17  -940.41
    53    63.64   -34.38   120.38   196.59   230.45   154.29    75.74
    54    54.37   -14.99   120.38   109.59    99.73   258.51  1179.85
    55    25.24    -7.11   176.42  -114.24   328.84   378.00  1812.72
    56    54.35   -50.91   136.85   -82.69   -12.31   -33.62  1082.59
    57    48.91    35.10   128.66   244.37  -219.81  -211.46  -791.59
    58    43.89    -4.08   124.82   -98.14   138.70   -15.49  -241.18
    59    51.61    -8.71  -117.35  -125.39  -281.31    50.76    33.81
    60    46.22    39.96  -131.42  -175.82  -124.32  -313.35  1007.76
    61    26.61    13.59  -154.98   -82.52   282.39   -40.66  1316.99
    62    55.07    28.84   114.90    -4.67   -64.14  -159.76  -296.54
    63    57.81   -34.58  -113.20  -163.00  -145.83    54.40   480.01
    64    66.80    40.91   111.80    38.76    16.44    86.74   865.06
    65    48.56    -3.69  -110.77   -10.42  -287.16   -13.93  -480.29
    66    41.75    17.42  -115.56   -29.83  -307.51  -183.84  1355.50
    67    18.09    15.02   169.70  -109.48   220.77  -276.63 -1183.71
    68    23.23    32.56   151.39  -276.59   296.43  -180.27   549.53
    69    33.48   -52.51   147.53   -57.89    39.28   178.56  1167.46
    70    36.48    50.45   137.73   -59.36   397.09  -209.18  -195.14
    71    50.70    53.25   124.51   177.05    61.59  -369.67    51.08
    72    52.38     0.00  -107.35   -10.18  -272.92  -209.01   623.99
    73    41.72    39.54  -119.05  -173.32    27.07   -36.48   177.46
    74    46.72   -25.77   111.80  -242.95   134.86   280.42   171.44
    75    18.88   -19.33   142.13   -87.57   -98.73   591.64   363.67
    76    39.09     9.20   111.37   -78.70   231.77    -1.08  1658.19
    77    44.22   -25.09   110.56  -278.46   290.40   212.41  -844.87
    78    48.54   -18.78   107.82  -195.24    52.70   259.79   -41.39
    79    55.57   -44.66  -108.43  -438.30  -332.26   -65.08  1619.05
    80    56.88    55.50  -112.83  -244.23  -446.90    40.94  1269.20
    81    60.13    48.90   108.43   141.69   216.73  -168.28  -761.72
    82    63.16   -45.84   106.50     6.20    95.18  -281.57   496.09
    83    44.33   -25.02  -103.50  -386.54  -242.75    91.37  -641.29
    84    26.88    27.71  -113.20  -227.75   -26.43   -23.27  -153.34
    85    26.88   -54.46  -126.87  -227.96   -11.65   239.35 -1111.47
    86    44.22   -12.24   102.53  -330.20   140.53   282.41   179.66
    87    40.59   -40.87  -104.74  -418.98   -46.27   101.20  -646.01
    88    24.51   -39.61  -114.44  -133.17  -120.96    53.87  -277.75
    89    29.36   -73.34   158.20   192.70   197.81    87.85   417.85
    90    36.51    58.86   114.44  -301.56   235.34  -100.95  1516.15
