#dipole v_rms = 188.535057
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0    59.29    -6.05  -147.99    24.53  -113.52    64.68    32.33
     1    59.17    26.67   161.03  -219.38   100.37  -136.47   153.28
     2    74.08   -39.25   150.64   -13.89  -103.72  -157.77    69.82
     3    54.24    -6.62  -150.46  -120.24  -270.30    93.80   225.48
     4    51.30     5.24  -156.57    53.86   -57.53  -393.73   -62.41
     5    64.25    44.85   174.09  -175.64   -62.53   441.50   430.66
     6    79.46    33.41   133.09   116.34   139.92     8.93    23.87
     7    80.42    34.29  -131.19    -7.95    60.17   -46.73   -59.41
     8    75.81   -33.81  -133.99    34.75   128.96    66.66  -134.23
     9    50.41    -1.78  -150.26   108.25  -107.03   -28.77   -39.98
    10    65.72   -41.74  -149.35  -134.21  -227.36    51.17   138.58
    11    44.44   -16.34  -171.57  -182.53   126.43    55.87   139.77
    12    43.69    14.50   175.76  -134.75  -187.73  -158.88    76.91
    13    49.26   -20.42   156.04   378.46   143.67  -151.05  -216.73
    14    49.66     9.05   149.35   -80.28  -234.05  -169.71   -76.33
    15    64.73    22.72   132.88    46.10   249.06    63.02   163.75
    16    58.67    -1.53  -131.76  -144.97    21.33   196.66    75.37
    17    45.79    30.78   173.16   282.95  -135.42   -86.98  -299.73
    18    57.83    20.56   136.17   219.64   100.87   192.28   -15.41
    19    54.87   -14.85   135.00    29.15  -189.78   -30.55  -141.81
    20    60.03     0.00   128.66   -69.95     1.52   -43.18    44.88
    21    60.80    17.96  -128.42  -138.00   343.44   149.12  -128.41
    22    61.83    20.72  -128.42   -15.00   238.58    79.83  -137.87
    23    57.79   -32.73  -135.00   -26.65   -62.52  -160.75   139.97
    24    65.10    38.61   132.51   106.42   196.59     0.14    57.13
    25    59.29     6.05  -122.01   -66.17   244.10   -36.72  -174.84
    26    57.98     6.19  -122.83  -100.17   195.84   -47.28  -114.71
    27    70.31   -38.48  -124.59   281.53     3.38    98.36  -188.50
    28    65.74   -33.14  -124.59   313.62   -48.45  -169.62   -22.96
    29    64.67    33.76  -125.54   126.85    13.13   122.81    -1.94
    30    39.56    36.33  -168.69   135.71   204.17  -163.89  -236.56
    31    47.65    48.96  -177.14   124.99    91.84  -184.51  -224.14
    32    47.55    46.30  -154.65   162.02   101.61     1.86  -129.87
    33    56.21   -39.75  -130.60   142.89  -114.94   160.85  -107.25
    34    48.71   -35.26  -135.00   163.34  -124.25  -196.36    90.80
    35    50.97   -52.85  -156.04   139.80  -202.04    31.18   -52.44
    36    43.47   -49.01  -170.54   138.10   284.43    75.73  -177.18
    37    28.68     9.41  -173.66   -52.17    63.45   212.72    79.00
    38    29.56    15.32   170.54   -60.92   -51.21  -118.00    18.65
    39    44.93     5.99  -126.47    11.62   139.54   108.96  -107.11
    40    42.42    19.36  -128.66   -23.42  -318.16  -185.26   186.78
    41    53.45    46.96  -133.26   171.80    71.02    57.87   -73.36
    42    58.48   -37.91  -118.30   -88.46  -125.64  -167.98   223.58
    43    44.77   -14.14   120.26    81.25  -153.01   -19.90  -163.00
    44    49.88    51.55  -130.91   -88.80    85.18   112.27    84.06
    45    50.05    64.87   162.90    72.22    60.64    -6.51   -27.63
    46    36.81   -53.76   158.96    61.69   199.73    66.49   -45.28
    47    33.15    48.96   158.96  -247.99   159.93   -80.77   128.75
    48    35.56    52.27   158.96  -136.96   211.36  -121.87    28.28
    49    60.33   -53.40   124.38   503.68     2.86   203.32  -331.40
